rank,ticker,sector,score,grade,price,mktcap,eps_g,rev_g,gross_m,op_m,roe,roic,p3m,p1m,pe,ev_eb
1,PLTR,Technology Services,96,A+,151.61,362601953351.0899,234.6,56.2,82.4,31.6,26.2,25.5,-18.4,9.1,239.6,247.0
2,CRDO,Technology Services,96,A+,116.21,21434926994.315136,13061.3,226.1,67.8,30.3,27.5,27.3,-23.0,-13.5,64.5,57.5
3,AU,Non-Energy Minerals,95,A+,95.98,52861714597.0,5513.9,118.3,52.2,43.9,35.8,27.9,10.8,-13.8,18.5,
4,NVDA,Electronic Technology,90,A+,181.59,4412542215293.846,66.7,65.5,71.1,60.4,101.5,93.6,0.3,-5.6,37.0,32.7
5,LLY,Health Technology,89,A+,993.26,936999192851.2131,96.6,44.7,83.0,45.6,101.3,37.1,-1.5,-3.2,44.0,30.7
6,APP,Technology Services,88,A+,454.84,153407490539.01907,108.1,23.3,85.5,72.4,203.8,63.8,-36.4,-1.0,48.1,35.1
7,UI,Electronic Technology,84,A,757.04,45816619758.69229,99.5,38.2,45.4,35.1,136.1,100.0,30.8,4.1,51.6,42.9
8,INCY,Health Technology,84,A,91.65,18239676904.377922,2261.1,21.2,91.5,26.1,29.9,29.5,-4.3,-7.0,14.3,10.2
9,EQT,Energy Minerals,83,A,64.55,40296885468.716736,706.3,60.0,43.1,35.7,9.2,6.7,14.7,15.2,19.5,9.3
10,MU,Electronic Technology,81,A,423.79,476979583827.7326,203.8,45.4,45.5,32.9,22.6,18.1,65.8,7.2,40.3,21.3
11,AVGO,Electronic Technology,80,A,325.37,1540519396056.6848,147.3,25.2,65.0,41.6,33.4,18.2,-14.4,-6.2,63.5,42.9
12,PTC,Technology Services,80,A,156.48,18620513125.720818,111.2,23.6,82.6,39.3,23.3,17.2,-12.6,-3.5,22.9,15.7
13,VRT,Electronic Technology,75,A,261.67,100114546162.25226,164.9,27.7,34.3,18.4,41.8,21.2,51.0,12.2,76.7,46.3
14,AMD,Electronic Technology,74,B+,194.32,316821452687.8438,163.6,34.3,46.0,10.7,7.1,6.8,-11.0,-10.8,73.5,46.3
15,SE,Retail Trade,74,B+,85.57,50416419747.0,244.3,36.4,45.8,8.1,15.1,12.6,-32.9,-26.5,33.2,
16,AMGN,Health Technology,72,B+,367.76,198247537540.98456,88.6,10.6,70.5,27.9,106.1,12.6,15.9,0.7,25.8,15.9
17,VG,Industrial Services,72,B+,13.26,32567142530.55639,51.8,176.9,49.9,37.1,41.9,7.0,112.8,28.2,14.3,11.6
18,VIK,Consumer Services,72,B+,69.03,30624638187.664383,691.7,21.9,39.0,23.1,263.5,20.3,-2.8,-11.1,26.9,18.2
19,JNJ,Health Technology,70,B+,243.6,587051362035.9346,90.5,6.0,68.0,27.2,35.0,23.7,15.8,1.8,22.1,18.6
20,FIX,Industrial Services,70,B+,1373.09,48298398142.790215,97.8,29.5,23.5,14.4,49.2,42.0,35.7,4.5,47.5,32.9
21,APH,Electronic Technology,69,B+,133.88,164561138734.6619,74.1,51.7,36.9,25.9,36.8,19.0,-3.1,-9.4,40.1,24.6
22,PM,Consumer Non-Durables,68,B+,175.22,272761393454.6854,60.7,7.6,65.2,35.6,,34.0,16.0,-4.0,24.1,19.4
